transit_depth_ppm,transit_duration_hrs,orbital_period_days,impact_parameter,transit_snr,log_period,log_depth,duration_period_ratio,transit_shape_factor,stellar_teff_K,stellar_radius_rsun,stellar_logg,stellar_teff_normalized,stellar_density_proxy,stellar_luminosity_proxy,planet_radius_rearth,planet_teq_K,insolation_flux_earth,log_planet_radius,log_insolation,is_rocky_size,is_super_earth_size,is_mini_neptune_size,is_gas_giant_size,is_hot,is_warm,is_temperate,is_cold,semi_major_axis_au,orbital_velocity_kms,density_proxy,in_habitable_zone,hz_distance_normalized,transit_probability,radius_ratio,expected_transit_depth_ppm,depth_anomaly,period_uncertainty,radius_uncertainty,depth_uncertainty,measurement_quality,fp_flag_not_transit_like,fp_flag_stellar_eclipse,fp_flag_centroid_offset,fp_flag_ephemeris_match,total_fp_flags,target,disposition,kepid,koi_name
542.4,1.843,19.0054098,1.228,20.2,1.2788772384200437,2.734319680859007,0.00404051622536793,2.263204,6347.0,1.036,4.423,1.0984769816545517,24676.32543684781,1.5627278574989167,28.47,758.0,78.19,1.454387467146955,1.8931512131298658,0,0,0,1,0,1,0,0,0.14085248479067,80.62783415009973,4.3334880027570776e-05,0,0.9031624675199865,0.03420173955155601,0.2516547159404302,63330.09605505861,0.9914353516923701,3.178042496089719e-06,0.3217421847558834,0.06452802359882007,0.7213584346439128,0,0,0,0,0,1,CONFIRMED,9653622,K02513.01
428.6,3.4874,2.178154348,1.21,93.0,0.3380886514113147,2.63205216670581,0.06671167884257453,4.219754,5947.0,0.881,4.482,1.0292488750432676,39088.426037822974,0.8710306168495123,22.22,1392.0,886.88,1.3467440546048488,2.947864861248386,0,0,0,1,1,0,0,0,0.031211613727208036,155.89252502761906,9.11523429684114e-05,0,0.9712577745286778,0.13125402729269442,0.2309646464016498,53344.66788743912,0.9919654575241826,1.1482198230334041e-06,0.2506750675067507,0.012832477834811012,0.7914468694167455,0,1,1,1,3,0,FALSE POSITIVE,9641018,K01504.01
316.9,0.9207,0.634003002,0.367,21.0,-0.19790868573191392,2.5009222391903005,0.060508388570690075,0.3378969,5226.0,0.75,4.606,0.9044652128764278,71759.18097201864,0.37643500177786376,1.35,1714.0,2030.16,0.13033376849500614,3.3075302666712623,1,0,0,0,1,0,0,0,0.013542792843874014,232.38850417247136,0.40644210740232684,0,0.9810292668527091,0.25751704542815523,0.016483516483516484,271.7063156623596,0.16633284444444443,1.924281109318785e-06,0.14814814814814814,0.06248027769012307,0.8260159675506151,0,0,0,0,0,1,CONFIRMED,7605093,K02817.01
157.5,3.434,18.2572722,0.412,17.3,1.2614358905595413,2.197280558125619,0.007837059762593305,1.414808,5014.0,0.756,4.559,0.8677743163724472,63380.609168398616,0.32409382724942476,0.94,547.0,21.16,-0.026872146400301365,1.3255156633631482,1,0,0,0,0,1,0,0,0.12338005920355909,73.52022088020875,1.2039721449004557,0,0.8137353359625605,0.02849244863953342,0.011386320910130433,129.6483038684735,0.21482499423811724,5.920928319182315e-06,0.053191489361702135,0.06095238095238095,0.8975453820126715,0,0,0,0,0,0,CANDIDATE,4164922,K03864.02
955.4,6.21,83.4887405,0.42,24.7,1.921627909394514,2.980185236947335,0.0030992203074377434,2.6082,5910.0,0.94,4.505,1.0228452751817239,36202.977701351265,0.9671536623077546,2.95,411.0,6.76,0.46982201597816303,0.829946695941636,0,0,1,0,0,1,0,0,0.37708885100301565,49.13755039897245,0.03895237585147458,0,0.6704534034414447,0.011591432598374656,0.028738991504948956,825.9296327215283,0.15675714025643167,7.053645754782945e-06,0.31525423728813556,0.04239062172911869,0.7365658241798655,0,0,0,0,0,1,CONFIRMED,10864531,K02080.01
214.6,4.095,7.19552624,0.593,15.6,0.8570625612706475,2.3316297176299323,0.023712650653887404,2.4283349999999997,6242.0,1.093,4.432,1.0803046036690898,22633.914765833702,1.6271411603643813,1.67,1037.0,273.05,0.22271647114758325,2.436242180871562,0,1,0,0,1,0,0,0,0.07692396573482772,116.30458176091929,0.21470916677169527,0,0.9481713461526569,0.06607108657814419,0.013991802646880415,195.77054130924978,0.09618126693027926,1.219646723156137e-05,0.3293413173652695,0.07642124883504194,0.7113515098979578,0,0,1,0,1,0,FALSE POSITIVE,5524881,K03030.01
47.8,4.386,1.018347376,0.654,33.3,0.0078959486745523,1.6794278966121188,0.17945742710884152,2.868444,5858.0,2.638,3.729,1.0138456213222569,769.9285383356416,7.35253163486269,1.92,2832.0,15153.38,0.28330122870354957,4.180509514133738,0,1,0,0,1,0,0,0,0.021913933707568056,234.111158593409,0.14128508391203706,0,0.9930541920422914,0.5597671401079236,0.006665055944813337,44.42297074749161,0.0760198878121872,5.257537973957524e-06,0.16666666666666669,0.03765690376569038,0.8303380080050988,0,0,1,1,2,0,FALSE POSITIVE,4059887,K04887.01
184.9,3.902,14.8200596,0.059,21.9,1.1708499501952037,2.2669369111591733,0.0109704911937961,0.230218,4825.0,0.732,4.603,0.8350640359986155,74813.13222761627,0.26055612262510147,0.96,552.0,21.92,-0.017728766960431602,1.3408405498123315,1,0,0,0,0,1,0,0,0.10868773485083642,79.78629657478454,1.1302806712962965,0,0.81700013253081,0.031317241128186096,0.012009848075421846,144.23645079471382,0.28192283560250003,7.5505769221063044e-06,0.0625,0.05570578691184424,0.8942837350212218,0,0,0,0,0,1,CONFIRMED,8631504,K02503.01
791.7,6.43,44.3471936,0.273,40.5,1.646866141809286,2.898560644939712,0.006041344331350579,1.75539,5600.0,0.872,4.455,0.9691934925579785,37494.453690555165,0.6709264722606022,2.45,484.0,13.0,0.3891660843645325,1.1139433523068367,0,0,1,0,0,1,0,0,0.22639227381825316,55.538376338305554,0.06799887801851268,0,0.7624554797999383,0.017910505211212187,0.025729240178781462,661.9938001774223,0.19593265040822885,3.885251489735756e-06,0.1020408163265306,0.026019957054439814,0.8864740086905025,0,0,0,0,0,1,CONFIRMED,8609450,K01278.02
37.9,7.773,5.1581317,0.032,13.0,0.71249242656754,1.5786392099680724,0.06278920718522948,0.24873599999999998,5155.0,3.355,3.511,0.8921772239529249,288.1475630600939,7.131642713907103,2.02,1642.0,1720.62,0.3053513694466238,3.2356849667101977,0,0,1,0,1,0,0,0,0.0641795229019147,135.36356297929584,0.12132376849095554,0,0.9793451248388159,0.24307986869647755,0.00551361207098912,30.399918069356936,0.24671388631810598,2.1538806386040898e-05,0.19801980198019803,0.09234828496042216,0.7749597331279692,0,0,0,0,0,0,CANDIDATE,9340411,K07162.01
